SRR_ID	Tissue	Log2TPM1
ERR1199513	Blood	2.884146581
ERR1199516	Blood	2.891000317
SRR5345667	Blood	2.894806901
SRR7138160	Blood	2.900348069
ERR1898473	Blood	2.905203002
SRR5345683	Blood	2.907397181
ERR1199501	Blood	2.916089262
SRR5345634	Blood	2.927934938
SRR5345636	Blood	2.932142075
ERR1199512	Blood	2.95700599
ERR1898454	Blood	2.968609844
ERR1199500	Blood	2.982439473
ERR1199496	Blood	3.039855176
ERR1898459	Blood	3.045586953
ERR1199505	Blood	3.080564891
ERR1898476	Blood	3.091249778
ERR1898470	Blood	3.148531004
ERR1199507	Blood	3.148531167
ERR1199498	Blood	3.15600547
ERR1199517	Blood	3.176878997
ERR1199508	Blood	3.205190109
ERR1898475	Blood	3.28349853
ERR1898469	Blood	3.333030088
ERR1199494	Blood	3.369332328
ERR1199521	Blood	3.412303393
SRR7475982	Blood	3.426967679
ERR1199497	Blood	3.436947484
SRR6207749	Blood	3.451981091
ERR1199518	Blood	3.507691904
SRR5345646	Blood	3.538812895
ERR1199492	Blood	3.573253933
SRX1332795	Blood	3.661116686
SRX1332709	Blood	3.734998293
ERR1898477	Blood	3.744877313
SRX1330757	Blood	3.782612373
SRR7475984	Blood	3.817141051
ERR1898453	Blood	3.855430744
SRR7475983	Blood	3.995924587
SRR2288571	Blood	4.037419124
SRX1333398	Blood	4.059635015
SRR7138159	Blood	4.084236255
SRR7475979	Blood	4.08898688
ERR1898461	Blood	4.240201886
SRR2288563	Blood	4.285836664
SRR7475981	Blood	4.346096758
SRR7475980	Blood	4.416989947
SRR7138158	Blood	4.506275745
SRR7138161	Blood	4.68454672
SRX3791890	Bone	0
SRX3791891	Bone	0
SRX3791896	Bone	0
SRX3791897	Bone	0
SRX3791899	Bone	0
SRX3791889	Bone	0.045784033
SRX3791898	Bone	0.046998062
SRX3791892	Bone	0.053775866
SRX3791901	Bone	0.087043211
SRX3791903	Bone	0.184765238
SRX3791902	Bone	0.235693979
SRX3791900	Bone	0.237679961
SRX3791895	Bone	0.255773837
SRX3791893	Bone	0.304131335
SRX3791894	Bone	0.392086573
SRR5332129	Bone	0.459056994
ERR2059850	Bone	0.463538759
SRR9672895	Bone	0.586605276
ERR2059855	Bone	0.590975608
SRR5332131	Bone	0.609011679
ERR2059852	Bone	0.617758304
SRR5332130	Bone	0.621943547
SRR5332128	Bone	0.669493978
SRR9672902	Bone	0.792357297
SRR9672903	Bone	0.827186539
ERR2983235	Bone	0.851914111
ERR2059854	Bone	0.878351036
ERR2059853	Bone	0.950840145
ERR2059851	Bone	0.981740886
SRR8471342	Bone	1.014637377
ERR2983236	Bone	1.060626421
SRR8471344	Bone	1.153372138
SRR8471341	Bone	1.498192648
ERR2983233	Bone	1.646176024
ERR2983234	Bone	1.734378833
SRR8471343	Bone	1.868842799
SRR8471346	Bone	2.069882235
SRR8471345	Bone	2.093083143
SRR8471338	Bone	2.224608656
SRR8471339	Bone	2.279219879
SRR8471340	Bone	2.722023311
SRR9672899	Bone	2.769928481
SRR9672901	Bone	2.880459064
SRR9672900	Bone	2.920864929
SRR9672897	Bone	3.152487181
SRR9672896	Bone	3.776666319
SRR9672898	Bone	4.524273029
SRR5802578	Bone.Marrow	4.058811309
SRR5802580	Bone.Marrow	4.175978974
SRR5802577	Bone.Marrow	4.195473277
SRR5802579	Bone.Marrow	4.214051503
ERX1886693	Brain	0.494351091
DRR003382	Brain	0.873592742
SRR2148913	Brain	1.017282706
ERX1886666	Brain	1.098281427
SRR10250950	Brain	1.310797289
SRR10250953	Brain	1.331351521
SRR2148915	Brain	1.384957148
ERX1886699	Brain	1.453779361
